id,description,address,phone,schedule,thumbnails,thumb,lat,lon,hints,cat,barrierfree_1,barrierfree_2,barrierfree_3,barrierfree_4,barrierfree_5,barrierfree_6,barrierfree_7,barrierfree_8,barrierfree_9,barrierfree_10,barrierfree_11,barrierfree_12,barrierfree_13,barrierfree_14,barrierfree_15,barrierfree_16,경사,경사_scale,승강기,화장실,주차장,테이블,total,접근성,title
1476,"- 23.07.25. 조시된 접근성 정보입니다. 이후 접근성 정보가 변경 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 주 출입구 접근로 높은 내리막 경사 있습니다.
- 외부 관람로 바닥 요철 마감 및 경사 구간 다수 있습니다.
- 장애인 화장실 없습니다.",제주특별자치도 제주시 애월읍 애원로 804,0507-1388-9988,09:00~17:30,"https://easyjeju.net/data/cheditor4/2411/20241112141301_mfkubkhk.jpg,https://easyjeju.net/data/cheditor4/2411/20241112141506_cvttqbxr.jpg",https://easyjeju.net/data/cheditor4/2411/20241112141301_mfkubkhk.jpg,33.41130805,126.3720053,"도움필요 (상),경사로 (상),주차장,매표소 접근 가능,테이블 비치",tour,도움필요 (상),경사로 (상),주차장,매표소 접근 가능,테이블 비치,,,,,,,,,,,,0,0,0,0,0,0,0,하,화조원
1475,"- 23.04.26. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경 되었을 수 있습니다.
- 장애인 전용 주차구역 설치되어 있습니다.
- 관람석 접근로 유효 폭 협소하며, 높은 경사로 있습니다.
- 휠체어 관람석 없습니다.
- 장애인 화장실 있습니다.",제주특별자치도 서귀포시 표선면 번영로 2564-21 제주 아리랑혼,064-787-2258,"공연시간:09:40,11:00,14:30",https://easyjeju.net/data/cheditor4/2411/20241108150009_ykdviknu.jpg,https://easyjeju.net/data/cheditor4/2411/20241108150009_ykdviknu.jpg,33.40269844,126.7786457,"도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실,테이블 비치,보장구 대여,점자블록",tour,도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실,테이블 비치,보장구 대여,점자블록,,,,,,,,,0,0,0,1,1,1,3,중,제주 아리랑혼
1474,"- 23.08.31. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경되었을 수 있습니다.
- 장애인 전용 주차구역 설치되어 있습니다.
- 주 출입구 접근로 4도 경사로 설치되어 있으며, 출입문 자동문 형태입니다.
- 2층 접근로 계단입니다.
- 장애인 화장실 없습니다.

※ 2층 접근로 계단 단차로 '도움필요 상' 이며 그 외 '단독접근가능' 입니다.",제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17 제주커피박물관,064-784-2255,09:00~18:00(라스트오더:15:40),"https://easyjeju.net/data/cheditor4/2411/20241105131209_pymiizhm.jpg,https://easyjeju.net/data/cheditor4/2411/20241105131222_ufxcmxor.jpg",https://easyjeju.net/data/cheditor4/2411/20241105131209_pymiizhm.jpg,33.43987482,126.8992119,"도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,점자블록",tour,도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,점자블록,,,,,,,,,,,,0,0,0,0,1,1,2,중,제주커피박물관 Baum
1465,"- 23.09.20. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 성터 출입구 단차 6cm 있으며, 관람로 바닥 요철 마감 구간 있습니다.
- 장애인 화장실 유적지 안내소 건물에 설치되어 있습니다.",제주특별자치도 제주시 조천읍 선흘서5길 7 낙선동 4·3유적지,,,https://easyjeju.net/data/cheditor4/2411/20241104145926_kraonxik.jpg,https://easyjeju.net/data/cheditor4/2411/20241104145926_kraonxik.jpg,33.51551902,126.6940738,"도움필요 (중),단차 (중),주차장,장애인 전용 주차구역,장애인 화장실,안내데스크,안내견 출입 가능,점자블록",tour,도움필요 (중),단차 (중),주차장,장애인 전용 주차구역,장애인 화장실,안내데스크,안내견 출입 가능,점자블록,,,,,,,,,1,0.333333,0,1,1,1,3.333333,중,낙선동4.3성
1462,"- 23.09.19. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 외부 관람로 바닥 요철 마감이며, 물 호수 및 돌 단차 있습니다.
- 화장실 없습니다.",제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,1670-8800,,https://easyjeju.net/data/cheditor4/2410/20241022161426_somiqlis.jpg,https://easyjeju.net/data/cheditor4/2410/20241022161426_somiqlis.jpg,33.30288791,126.3175367,"도움필요 (하),단차 (하),주차장,안내견 출입 가능",tour,도움필요 (하),단차 (하),주차장,안내견 출입 가능,,,,,,,,,,,,,2,0.666667,0,0,0,0,0.666667,중,신화월드 신화가든
1460,"- 23.09.13. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 이동 경로 농로를 이용해야 하며, 바닥 배수로 있습니다.
- 추모재단 11도 경사로 있습니다.
- 장애인 화장실 있습니다.",제주 서귀포시 대정읍 상모리 1590-3,,,https://easyjeju.net/data/cheditor4/2410/20241018105347_grkhhqck.jpg,https://easyjeju.net/data/cheditor4/2410/20241018105347_grkhhqck.jpg,33.20551441,126.27982,"도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,안내견 출입 가능",tour,도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,안내견 출입 가능,,,,,,,,,,,,0,0,0,0,1,1,2,중,4.3유적지섯알오름학살터
1459,"- 23.09.13. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 4.3유적지섯알오름학살터주차장 이용 가능하며, 장애인 전용 주차구역 있습니다.
- 4.3유적지섯알오름학살터주차장~알뜨르비행장및일본군비행기격납고 농로를 이용해야 하며, 바닥 배수로 있습니다.
- 알뜨르비행장및일본군비행기격납고 앞 바닥 요철 마감 및 경사 있습니다.
- 4.3유적지섯알오름학살터주차장에 장애인 화장실 있습니다.",제주 서귀포시 대정읍 상모리 1629-8,,,"https://easyjeju.net/data/cheditor4/2410/20241018102017_bsnppiui.jpg,https://easyjeju.net/data/cheditor4/2410/20241018102048_txtltppk.jpg",https://easyjeju.net/data/cheditor4/2410/20241018102017_bsnppiui.jpg,33.20500102,126.2772679,"도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실,안내견 출입 가능",tour,도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실,안내견 출입 가능,,,,,,,,,,,0,0,0,1,1,1,3,중,알뜨르비행장
1458,"- 23.09.15. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 방문자센터 출입구 낮은 단차 있으며, 체험실 유효 폭 협소합니다.
- 동백마을 군락지 초입 바닥 요철 마감이며, 관람로 단차 없이 관람 가능합니다.
- 장애인 화장실 없습니다.",제주특별자치도 서귀포시 남원읍 중산간동로 5830,,,"https://easyjeju.net/data/cheditor4/2410/20241017162616_uqcpzzxs.jpg,https://easyjeju.net/data/cheditor4/2410/20241017162622_nacdcudr.jpg",https://easyjeju.net/data/cheditor4/2410/20241017162616_uqcpzzxs.jpg,33.32179713,126.7440261,"단독접근가능,주차장,테이블 비치,안내견 출입 가능",tour,단독접근가능,주차장,테이블 비치,안내견 출입 가능,,,,,,,,,,,,,3,1,0,0,0,0,1,중,신흥2리동백마을
1457,"- 23.09.28. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 외부 관람로 최대 8.6도 있으며, 소공원 바닥 요철 마감입니다.
- 장애인 화장실 없습니다.",제주특별자치도 서귀포시 대정읍 신도리 3049,,,"https://easyjeju.net/data/cheditor4/2410/20241017150423_fsamrwfa.jpg,https://easyjeju.net/data/cheditor4/2410/20241017150433_lsiabkbh.jpg,https://easyjeju.net/data/cheditor4/2410/20241017150442_vceiyhfw.jpg",https://easyjeju.net/data/cheditor4/2410/20241017150423_fsamrwfa.jpg,33.27732422,126.1702254,"도움필요 (상),경사로 (상),단차 (상),주차장,안내견 출입 가능",tour,도움필요 (상),경사로 (상),단차 (상),주차장,안내견 출입 가능,,c,,,,,,,,,,0,0,0,0,0,0,0,하,신도포구
1456,"- 23.01.05. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차장 없습니다.
- 외부 관람로 5~7도 경사 다수 있으며, 최대 22도 구간 있습니다.
- 내부 관람로 단차 없이 관람 가능하며, 카페 있습니다.
- 장애인 화장실 없습니다.",제주특별자치도 제주시 한림읍 새미소길 15 삼위일체대성당,,,"https://easyjeju.net/data/cheditor4/2410/20241017131031_vxnwksff.jpg,https://easyjeju.net/data/cheditor4/2410/20241017131024_kvxvikbx.jpg",https://easyjeju.net/data/cheditor4/2410/20241017131031_vxnwksff.jpg,33.34782857,126.3242993,"도움필요 (상),경사로 (상),주차장,테이블 비치,안내견 출입 가능",tour,도움필요 (상),경사로 (상),주차장,테이블 비치,안내견 출입 가능,,,,,,,,,,,,0,0,0,0,0,0,0,하,새미은총의동산
1455,"- 23.09.18. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 외부 관람로 바닥 요철 마감 및 최대 경사 10도 구간 있습니다.
- 장애인 화장실 있습니다.",제주특별자치도 서귀포시 현청로 41-19,,,"https://easyjeju.net/data/cheditor4/2410/20241016165312_xaougdde.jpg,https://easyjeju.net/data/cheditor4/2410/20241016165427_whfvrtpu.jpg",https://easyjeju.net/data/cheditor4/2410/20241016165312_xaougdde.jpg,33.26692553,126.5545474,"도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실",tour,도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,장애인 화장실,,,,,,,,,,,,0,0,0,1,1,1,3,중,서귀포칠십리시공원
1454,"- 23.09.12. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 외부 관람로 새연교 경사 최대 10도 있으며, 새연교 좌,우측 관람로 경사 및 단차 없습니다.
- 새섬 진입로 계단 단차 있습니다.
- 주차장 부근에 장애인 화장실 설치되어 있습니다.",제주특별자치도 서귀포시 남성중로 40,064-760-3471,,"https://easyjeju.net/data/cheditor4/2410/20241016152432_zwfbqadh.jpg,https://easyjeju.net/data/cheditor4/2410/20241016152437_omgbhcxw.jpg",https://easyjeju.net/data/cheditor4/2410/20241016152432_zwfbqadh.jpg,33.23920117,126.5584239,"도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,점자블록",tour,도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,점자블록,,,,,,,,,,,0,0,0,0,1,1,2,중,새연교
1453,"- 23.10.05. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 외부 관람로 경사 및 바닥 요철 마감 구간 다수 있습니다.
- 장애인 화장실 주차장, 검표소, 해녀갤러리 부근에 설치되어 있습니다.
- 휠체어 대여 가능합니다.",제주특별자치도 제주시 조천읍 비자림로 768,064-783-9900,"3~6월, 9~10월:09:00~18:40
7~8월, 11~2월: 09:00~17:40","https://easyjeju.net/data/cheditor4/2410/20241016135333_exgagrmc.jpg,https://easyjeju.net/data/cheditor4/2410/20241016135336_sgktlzpb.jpg",https://easyjeju.net/data/cheditor4/2410/20241016135333_exgagrmc.jpg,33.43487354,126.688504,"도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,보장구 대여",tour,도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,보장구 대여,,,,,,,,,,0,0,0,0,1,1,2,중,산굼부리
1452,"- 23.09.13. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 사계해안 화순층 접근로 계단입니다.
- 사계포구에 장애인 화장실 설치되어 있습니다.

※ 외부 관람로 화순층 접근로 단차로 '도움필요 상' 이며 그 외 '단독접근가능' 입니다.",제주특별자치도 서귀포시 안덕면 형제해안로 66 서귀포해양경찰서 사계출장소,,,https://easyjeju.net/data/cheditor4/2410/20241016111822_idtgwshg.jpg,https://easyjeju.net/data/cheditor4/2410/20241016111822_idtgwshg.jpg,33.22598978,126.2999938,"도움필요 (상),단차 (상),주차장,장애인 화장실,안내견 출입 가능",tour,도움필요 (상),단차 (상),주차장,장애인 화장실,안내견 출입 가능,,,,,,,,,,,,0,0,0,1,0,0,1,중,사계해변
1451,"- 23.01.04. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 돠었을 수 있습니다.
- 장애인 전용 주차구역 설치되어 있으며, 바닥 잔디블럭 마감입니다.
- 외부 관람로 바닥 요철마감 구간 있습니다.
- 주차장 부근 화장실 건물에 장애인 화장실 설치되어 있습니다. ",제주특별자치도 제주시 한경면 저지14길 35,,,https://easyjeju.net/data/cheditor4/2410/20241015102355_qxbweusn.jpg,https://easyjeju.net/data/cheditor4/2410/20241015102355_qxbweusn.jpg,33.33969288,126.2656919,"단독접근가능,주차장,장애인 전용 주차구역,장애인 화장실,점자블록",tour,단독접근가능,주차장,장애인 전용 주차구역,장애인 화장실,점자블록,,,,,,,,,,,,3,1,0,1,1,1,4,상,저지문화예술인마을
1433,"- 23.01.03. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 없습니다.
- 외부 관람로(메밀 밭) 바닥 요철 마감입니다.
- 장애인 화장실 공용으로 단독  설치되어 있습니다.",제주특별자치도 제주시 조천읍 와흘리 362-16,010-6263-0506,09:00~18:00,https://easyjeju.net/data/cheditor4/2409/20240924134654_tvfurwcm.jpg,https://easyjeju.net/data/cheditor4/2409/20240924134654_tvfurwcm.jpg,33.48261671,126.6500926,"단독접근가능,주차장,장애인 화장실",tour,단독접근가능,주차장,장애인 화장실,,,,,,,,,,,,,,3,1,0,1,0,0,2,중,와흘메밀마을협의회
